index,card_id,card_name,card_number,set_id,set_name,card_market_value
211,base4-1,Alakazam,1,base4,Base Set 2,37.95
212,base4-2,Blastoise,2,base4,Base Set 2,108.24
213,base4-3,Chansey,3,base4,Base Set 2,15.38
214,base4-4,Charizard,4,base4,Base Set 2,320.89
215,base4-5,Clefable,5,base4,Base Set 2,14.82
216,base4-6,Clefairy,6,base4,Base Set 2,11.36
217,base4-7,Gyarados,7,base4,Base Set 2,27.73
218,base4-8,Hitmonchan,8,base4,Base Set 2,21.18
219,base4-9,Magneton,9,base4,Base Set 2,12.74
221,base4-10,Mewtwo,10,base4,Base Set 2,43.27
222,base4-11,Nidoking,11,base4,Base Set 2,25.38
223,base4-12,Nidoqueen,12,base4,Base Set 2,22.85
224,base4-13,Ninetales,13,base4,Base Set 2,22.28
225,base4-14,Pidgeot,14,base4,Base Set 2,27.51
226,base4-15,Poliwrath,15,base4,Base Set 2,12.75
227,base4-16,Raichu,16,base4,Base Set 2,33.48
228,base4-17,Scyther,17,base4,Base Set 2,25.59
229,base4-18,Venusaur,18,base4,Base Set 2,72.77
231,base4-19,Wigglytuff,19,base4,Base Set 2,11.97
232,base4-20,Zapdos,20,base4,Base Set 2,24.46
233,base4-21,Beedrill,21,base4,Base Set 2,2.03
234,base4-22,Dragonair,22,base4,Base Set 2,8.75
235,base4-23,Dugtrio,23,base4,Base Set 2,3.54
236,base4-24,Electabuzz,24,base4,Base Set 2,3.23
237,base4-25,Electrode,25,base4,Base Set 2,3.82
238,base4-26,Kangaskhan,26,base4,Base Set 2,3.57
239,base4-27,Mr. Mime,27,base4,Base Set 2,5.74
241,base4-28,Pidgeotto,28,base4,Base Set 2,3.91
242,base4-29,Pinsir,29,base4,Base Set 2,3.78
243,base4-30,Snorlax,30,base4,Base Set 2,9.18
244,base4-31,Venomoth,31,base4,Base Set 2,3.29
245,base4-32,Victreebel,32,base4,Base Set 2,2.78
246,base4-33,Arcanine,33,base4,Base Set 2,1.81
247,base4-34,Butterfree,34,base4,Base Set 2,1.58
248,base4-35,Charmeleon,35,base4,Base Set 2,1.33
249,base4-36,Dewgong,36,base4,Base Set 2,1.26
251,base4-37,Dodrio,37,base4,Base Set 2,1.65
252,base4-38,Dratini,38,base4,Base Set 2,0.86
253,base4-39,Exeggutor,39,base4,Base Set 2,1.12
254,base4-40,Farfetch'd,40,base4,Base Set 2,0.54
255,base4-41,Fearow,41,base4,Base Set 2,1.31
256,base4-42,Growlithe,42,base4,Base Set 2,1.28
257,base4-43,Haunter,43,base4,Base Set 2,0.97
258,base4-44,Ivysaur,44,base4,Base Set 2,3.46
259,base4-45,Jynx,45,base4,Base Set 2,0.72
261,base4-46,Kadabra,46,base4,Base Set 2,1.23
262,base4-47,Kakuna,47,base4,Base Set 2,0.76
263,base4-48,Lickitung,48,base4,Base Set 2,1.41
264,base4-49,Machoke,49,base4,Base Set 2,0.73
265,base4-50,Magikarp,50,base4,Base Set 2,1.05
266,base4-51,Magmar,51,base4,Base Set 2,1.5
267,base4-52,Marowak,52,base4,Base Set 2,1.71
268,base4-53,Nidorina,53,base4,Base Set 2,0.64
269,base4-54,Nidorino,54,base4,Base Set 2,1.78
271,base4-55,Parasect,55,base4,Base Set 2,1.06
272,base4-56,Persian,56,base4,Base Set 2,1.89
273,base4-57,Poliwhirl,57,base4,Base Set 2,0.98
274,base4-58,Raticate,58,base4,Base Set 2,1.0
275,base4-59,Rhydon,59,base4,Base Set 2,2.01
276,base4-60,Seaking,60,base4,Base Set 2,0.92
277,base4-61,Seel,61,base4,Base Set 2,0.64
278,base4-62,Tauros,62,base4,Base Set 2,3.19
279,base4-63,Wartortle,63,base4,Base Set 2,1.92
281,base4-64,Weepinbell,64,base4,Base Set 2,1.16
282,base4-65,Abra,65,base4,Base Set 2,0.45
283,base4-66,Bellsprout,66,base4,Base Set 2,0.49
284,base4-67,Bulbasaur,67,base4,Base Set 2,2.38
285,base4-68,Caterpie,68,base4,Base Set 2,0.68
286,base4-69,Charmander,69,base4,Base Set 2,1.09
287,base4-70,Cubone,70,base4,Base Set 2,1.03
288,base4-71,Diglett,71,base4,Base Set 2,0.48
289,base4-72,Doduo,72,base4,Base Set 2,0.43
291,base4-73,Drowzee,73,base4,Base Set 2,0.49
292,base4-74,Exeggcute,74,base4,Base Set 2,0.43
293,base4-75,Gastly,75,base4,Base Set 2,0.42
294,base4-76,Goldeen,76,base4,Base Set 2,0.47
295,base4-77,Jigglypuff,77,base4,Base Set 2,0.88
296,base4-78,Machop,78,base4,Base Set 2,0.4
297,base4-79,Magnemite,79,base4,Base Set 2,0.38
298,base4-80,Meowth,80,base4,Base Set 2,0.55
299,base4-81,Metapod,81,base4,Base Set 2,0.45
2101,base4-82,Nidoran ♀,82,base4,Base Set 2,0.44
2102,base4-83,Nidoran ♂,83,base4,Base Set 2,0.65
2103,base4-84,Onix,84,base4,Base Set 2,0.88
2104,base4-85,Paras,85,base4,Base Set 2,0.41
2105,base4-86,Pidgey,86,base4,Base Set 2,0.8
2106,base4-87,Pikachu,87,base4,Base Set 2,2.52
2107,base4-88,Poliwag,88,base4,Base Set 2,0.39
2108,base4-89,Rattata,89,base4,Base Set 2,0.46
2109,base4-90,Rhyhorn,90,base4,Base Set 2,0.62
2111,base4-91,Sandshrew,91,base4,Base Set 2,0.45
2112,base4-92,Spearow,92,base4,Base Set 2,0.54
2113,base4-93,Squirtle,93,base4,Base Set 2,1.08
2114,base4-94,Starmie,94,base4,Base Set 2,0.52
2115,base4-95,Staryu,95,base4,Base Set 2,0.28
2116,base4-96,Tangela,96,base4,Base Set 2,0.4
2117,base4-97,Venonat,97,base4,Base Set 2,0.64
2118,base4-98,Voltorb,98,base4,Base Set 2,0.59
